feature_name
country
age
subscription_type
ad_interaction
music_suggestion_rating_1_to_5
avg_listening_hours_per_week
favorite_genre
most_liked_feature
desired_future_feature
primary_device
playlists_created
avg_skips_per_day
likes_personalization
dislikes_suggestions
heavy_listener
many_playlists
new_user
days_since_signup_start
